Filename,CelexID,DocID,remove
21973A0518(01):EN:NOT.html,21973A0518(01),63,0
21973A0630(01):EN:NOT.html,21973A0630(01),64,0
21973A0630(02):EN:NOT.html,21973A0630(02),65,0
21973A0722(01):EN:NOT.html,21973A0722(01),66,0
21973A0722(02):EN:NOT.html,21973A0722(02),67,0
21973A0722(03):EN:NOT.html,21973A0722(03),68,0
21973A0831(01):EN:NOT.html,21973A0831(01),69,0
21973A1003(01):EN:NOT.html,21973A1003(01),70,0
21973A1106(04):EN:NOT.html,21973A1106(04),71,0
21973A1123(01):EN:NOT.html,21973A1123(01),72,0
21973A1221(01):EN:NOT.html,21973A1221(01),73,0
21974A0917(01):EN:NOT.html,21974A0917(01),74,0
21974D0530(01):EN:NOT.html,21974D0530(01),75,1
21975A0529(03):EN:NOT.html,21975A0529(03),76,0
21975A0529(06):EN:NOT.html,21975A0529(06),77,0
21975A0529(07):EN:NOT.html,21975A0529(07),78,0
21975A0715(03):EN:NOT.html,21975A0715(03),79,0
21975A0718(01):EN:NOT.html,21975A0718(01),80,0
21975A1114(01):EN:NOT.html,21975A1114(01),81,0
21975A1201(01):EN:NOT.html,21975A1201(01),82,0
21975A1223(01):EN:NOT.html,21975A1223(01),83,0
21975D0604(01):EN:NOT.html,21975D0604(01),84,0
21976A0130(03):EN:NOT.html,21976A0130(03),85,0
21976A0216(01):EN:NOT.html,21976A0216(01),86,0
21976A0216(02):EN:NOT.html,21976A0216(02),87,0
21976A0216(03):EN:NOT.html,21976A0216(03),88,1
21976A0304(01):EN:NOT.html,21976A0304(01),89,0
21976A0601(01):EN:NOT.html,21976A0601(01),90,0
21976A0624(01):EN:NOT.html,21976A0624(01),91,0
21976A0629(01):EN:NOT.html,21976A0629(01),92,0
21976A0706(01):EN:NOT.html,21976A0706(01),93,0
21976A0726(01):EN:NOT.html,21976A0726(01),94,0
21976A0810(01):EN:NOT.html,21976A0810(01),95,0
21976A1019(01):EN:NOT.html,21976A1019(01),96,0
21976A1126(01):EN:NOT.html,21976A1126(01),97,0
21976A1129(03):EN:NOT.html,21976A1129(03),98,0
21976A1129(04):EN:NOT.html,21976A1129(04),99,0
21976A1129(07):EN:NOT.html,21976A1129(07),100,0
21977A0118(01):EN:NOT.html,21977A0118(01),101,0
21977A0118(05):EN:NOT.html,21977A0118(05),102,0
21977A0118(06):EN:NOT.html,21977A0118(06),103,0
21977A0208(03):EN:NOT.html,21977A0208(03),104,1
21977A0312(01):EN:NOT.html,21977A0312(01),105,0
21977A0315(01):EN:NOT.html,21977A0315(01),106,0
21977A0503(01):EN:NOT.html,21977A0503(01),107,0
21977A0503(02):EN:NOT.html,21977A0503(02),108,0
21977A0629(01):EN:NOT.html,21977A0629(01),109,0
21977A0712(01):EN:NOT.html,21977A0712(01),110,0
21977A0915(01):EN:NOT.html,21977A0915(01),111,0
21977A0919(01):EN:NOT.html,21977A0919(01),112,0
21977A0919(02):EN:NOT.html,21977A0919(02),113,0
21977A1027(01):EN:NOT.html,21977A1027(01),114,0
21978A0116(01):EN:NOT.html,21978A0116(01),115,0
21978A0222(01):EN:NOT.html,21978A0222(01)R(02),116,1
21978A0408(01):EN:NOT.html,21978A0408(01),117,0
21978A0502(01):EN:NOT.html,21978A0502(01),118,0
21978A0517(01):EN:NOT.html,21978A0517(01),119,0
21978A0914(01):EN:NOT.html,21978A0914(01),120,0
21978A0927(02):EN:NOT.html,21978A0927(02),121,0
21978A1023(01):EN:NOT.html,21978A1023(01),122,0
21978A1024(01):EN:NOT.html,21978A1024(01),123,0
21978A1110(02):EN:NOT.html,21978A1110(02),124,0
21978A1117(01):EN:NOT.html,21978A1117(01),125,0
21978A1228(01):EN:NOT.html,21978A1228(01),126,0
21979A0412(01):EN:NOT.html,21979A0412(01),127,0
21979A0412(02):EN:NOT.html,21979A0412(02),128,0
21979A0412(03):EN:NOT.html,21979A0412(03),129,0
21979A0412(04):EN:NOT.html,21979A0412(04),130,0
21979A0412(05):EN:NOT.html,21979A0412(05),131,0
21979A0412(06):EN:NOT.html,21979A0412(06),132,0
21979A0412(07):EN:NOT.html,21979A0412(07),133,0
21979A0412(08):EN:NOT.html,21979A0412(08),134,0
21979A0412(09):EN:NOT.html,21979A0412(09),135,0
21979A0531(01):EN:NOT.html,21979A0531(01),136,0
21979A0615(02):EN:NOT.html,21979A0615(02),137,0
21979A0623(01):EN:NOT.html,21979A0623(01),138,0
21979A0630(01):EN:NOT.html,21979A0630(01),139,0
21979A0919(01):EN:NOT.html,21979A0919(01),140,0
21979A1101(01):EN:NOT.html,21979A1101(01),141,0
21979A1113(01):EN:NOT.html,21979A1113(01),142,0
21979A1122(02):EN:NOT.html,21979A1122(02),143,0
21979A1126(01):EN:NOT.html,21979A1126(01),144,0
21979A1128(01):EN:NOT.html,21979A1128(01),145,0
21979D0331(02):EN:NOT.html,21979D0331(02),146,0
21979D1029(01):EN:NOT.html,21979D1029(01),147,0
21980A0227(02):EN:NOT.html,21980A0227(02),148,0
21980A0227(05):EN:NOT.html,21980A0227(05),149,0
21980A0307(01):EN:NOT.html,21980A0307(01),150,0
21980A0322(02):EN:NOT.html,21980A0322(02),151,0
21980A0430(01):EN:NOT.html,21980A0430(01),152,0
21980A0519(01):EN:NOT.html,21980A0519(01),153,0
21980A0623(02):EN:NOT.html,21980A0623(02),154,0
21980A0717(01):EN:NOT.html,21980A0717(01)R(01),155,1
21980A0728(01):EN:NOT.html,21980A0728(01),156,0
21980A0918(01):EN:NOT.html,21980A0918(01),157,0
21980A1017(01):EN:NOT.html,21980A1017(01),158,0
21980A1017(02):EN:NOT.html,21980A1017(02),159,0
21980A1017(04):EN:NOT.html,21980A1017(04),160,0
21980A1106(02):EN:NOT.html,21980A1106(02)R(01),161,1
21980A1106(03):EN:NOT.html,21980A1106(03)R(01),162,1
21980A1114(01):EN:NOT.html,21980A1114(01),163,0
21980A1118(01):EN:NOT.html,21980A1118(01),164,0
21980D1029(02):EN:NOT.html,21980D1029(02),165,0
21981A0120(01):EN:NOT.html,21981A0120(01),166,0
21981A0508(01):EN:NOT.html,21981A0508(01),167,0
21981A0515(01):EN:NOT.html,21981A0515(01),168,0
21981A0523(01):EN:NOT.html,21981A0523(01),169,0
21981A0523(02):EN:NOT.html,21981A0523(02),170,0
21981A0523(03):EN:NOT.html,21981A0523(03),171,0
21981A0623(02):EN:NOT.html,21981A0623(02),172,0
21981A0710(02):EN:NOT.html,21981A0710(02),173,0
21981A0905(01):EN:NOT.html,21981A0905(01)R(01),174,1
21981A0916(01):EN:NOT.html,21981A0916(01),175,0
21981A0918(01):EN:NOT.html,21981A0918(01),176,0
21981A0921(01):EN:NOT.html,21981A0921(01),177,0
21981A1001(02):EN:NOT.html,21981A1001(02),178,0
21981A1001(03):EN:NOT.html,21981A1001(03),179,0
21981A1218(05):EN:NOT.html,21981A1218(05),180,0
21981A1230(02):EN:NOT.html,21981A1230(02),181,0
21982A0121(02):EN:NOT.html,21982A0121(02),182,0
21982A0302(01):EN:NOT.html,21982A0302(01),183,0
21982A0428(01):EN:NOT.html,21982A0428(01),184,0
21982A0430(02):EN:NOT.html,21982A0430(02),185,0
21982A0526(04):EN:NOT.html,21982A0526(04),186,0
21982A0607(01):EN:NOT.html,21982A0607(01),187,0
21982A0712(01):EN:NOT.html,21982A0712(01),188,0
21982A0712(02):EN:NOT.html,21982A0712(02),189,0
21982A0712(03):EN:NOT.html,21982A0712(03),190,0
21982A0719(01):EN:NOT.html,21982A0719(01),191,0
21982A0728(01):EN:NOT.html,21982A0728(01),192,0
21982A0728(02):EN:NOT.html,21982A0728(02),193,0
21982A0728(03):EN:NOT.html,21982A0728(03),194,0
21982A1001(01):EN:NOT.html,21982A1001(01),195,0
21982A1106(01):EN:NOT.html,21982A1106(01),196,0
21982D0621(03):EN:NOT.html,21982D0621(03),197,0
21982D0621(04):EN:NOT.html,21982D0621(04),198,0
21982D0621(06):EN:NOT.html,21982D0621(06),199,0
21982D1231(01):EN:NOT.html,21982D1231(01),200,0
21983A0312(01):EN:NOT.html,21983A0312(01),201,0
21983A0330(01):EN:NOT.html,21983A0330(01),202,0
21983A0427(01):EN:NOT.html,21983A0427(01),203,0
21983A0608(01):EN:NOT.html,21983A0608(01),204,0
21983A0608(02):EN:NOT.html,21983A0608(02),205,0
21983A0826(02):EN:NOT.html,21983A0826(02),206,0
21983A0826(03):EN:NOT.html,21983A0826(03),207,0
21983A0916(02):EN:NOT.html,21983A0916(02),208,0
21983A0921(01):EN:NOT.html,21983A0921(01),209,0
21983A1014(01):EN:NOT.html,21983A1014(01),210,0
21983A1202(01):EN:NOT.html,21983A1202(01),211,0
21984A0208(02):EN:NOT.html,21984A0208(02),212,0
21984A0225(01):EN:NOT.html,21984A0225(01),213,0
21984A0323(02):EN:NOT.html,21984A0323(02),214,0
21984A0505(01):EN:NOT.html,21984A0505(01),215,0
21984A0512(01):EN:NOT.html,21984A0512(01),216,0
21984A0608(01):EN:NOT.html,21984A0608(01),217,0
21984A0609(02):EN:NOT.html,21984A0609(02),218,0
21984A0609(03):EN:NOT.html,21984A0609(03),219,0
21984A0609(04):EN:NOT.html,21984A0609(04),220,0
21984A0609(05):EN:NOT.html,21984A0609(05),221,0
21984A0609(06):EN:NOT.html,21984A0609(06),222,0
21984A0609(08):EN:NOT.html,21984A0609(08),223,0
21984A0626(01):EN:NOT.html,21984A0626(01),224,0
21984A0626(02):EN:NOT.html,21984A0626(02),225,0
21984A0714(01):EN:NOT.html,21984A0714(01),226,0
21984A0716(01):EN:NOT.html,21984A0716(01),227,0
21984A0716(02):EN:NOT.html,21984A0716(02),228,0
21984A0918(01):EN:NOT.html,21984A0918(01),229,0
21984A1127(01):EN:NOT.html,21984A1127(01),230,0
21984A1127(02):EN:NOT.html,21984A1127(02),231,0
21985A0131(01):EN:NOT.html,21985A0131(01),232,0
21985A0201(01):EN:NOT.html,21985A0201(01),233,0
21985A0323(01):EN:NOT.html,21985A0323(01),234,0
21985A0403(01):EN:NOT.html,21985A0403(01)R(01),235,1
21985A0507(01):EN:NOT.html,21985A0507(01),236,0
21985A0705(01):EN:NOT.html,21985A0705(01),237,0
21985A0723(01):EN:NOT.html,21985A0723(01),238,0
21985A0731(06):EN:NOT.html,21985A0731(06),239,0
21985A0919(01):EN:NOT.html,21985A0919(01),240,0
21985A1121(01):EN:NOT.html,21985A1121(01),241,0
21985A1122(01):EN:NOT.html,21985A1122(01),242,0
21985A1122(02):EN:NOT.html,21985A1122(02),243,0
21985A1122(03):EN:NOT.html,21985A1122(03),244,1
21986A0211(01):EN:NOT.html,21986A0211(01),245,0
21986A0318(01):EN:NOT.html,21986A0318(01)R(01),246,1
21986A0324(03):EN:NOT.html,21986A0324(03),247,0
21986A0425(01):EN:NOT.html,21986A0425(01),248,0
21986A0517(01):EN:NOT.html,21986A0517(01),249,0
21986A0517(02):EN:NOT.html,21986A0517(02),250,0
21986A0610(01):EN:NOT.html,21986A0610(01),251,0
21986A0618(01):EN:NOT.html,21986A0618(01),252,0
21986A0618(02):EN:NOT.html,21986A0618(02),253,0
21986A0618(03):EN:NOT.html,21986A0618(03),254,0
21986A0630(01):EN:NOT.html,21986A0630(01),255,0
21986A0704(01):EN:NOT.html,21986A0704(01),256,0
21986A0717(01):EN:NOT.html,21986A0717(01),257,0
21986A1115(03):EN:NOT.html,21986A1115(03),258,0
21986A1122(03):EN:NOT.html,21986A1122(03),259,0
21986A1122(05):EN:NOT.html,21986A1122(05),260,0
21986A1122(06):EN:NOT.html,21986A1122(06),261,0
21986A1122(09):EN:NOT.html,21986A1122(09),262,0
21986A1122(11):EN:NOT.html,21986A1122(11),263,0
21986A1129(01):EN:NOT.html,21986A1129(01),264,0
21986A1129(03):EN:NOT.html,21986A1129(03),265,0
21987A0130(03):EN:NOT.html,21987A0130(03),266,0
21987A0207(01):EN:NOT.html,21987A0207(01),267,1
21987A0207(02):EN:NOT.html,21987A0207(02),268,0
21987A0207(03):EN:NOT.html,21987A0207(03),269,0
21987A0207(04):EN:NOT.html,21987A0207(04),270,0
21987A0207(05):EN:NOT.html,21987A0207(05),271,0
21987A0207(06):EN:NOT.html,21987A0207(06),272,0
21987A0214(01):EN:NOT.html,21987A0214(01),273,0
21987A0305(01):EN:NOT.html,21987A0305(01),274,0
21987A0325(01):EN:NOT.html,21987A0325(01),275,0
21987A0407(01):EN:NOT.html,21987A0407(01),276,0
21987A0410(04):EN:NOT.html,21987A0410(04),277,0
21987A0410(05):EN:NOT.html,21987A0410(05),278,0
21987A0507(01):EN:NOT.html,21987A0507(01),279,0
21987A0507(02):EN:NOT.html,21987A0507(02),280,0
21987A0522(01):EN:NOT.html,21987A0522(01),281,0
21987A0606(01):EN:NOT.html,21987A0606(01),282,0
21987A0610(01):EN:NOT.html,21987A0610(01),283,0
21987A0720(01):EN:NOT.html,21987A0720(01),284,0
21987A0720(02):EN:NOT.html,21987A0720(02),285,0
21987A0813(01):EN:NOT.html,21987A0813(01),286,0
21987A0914(02):EN:NOT.html,21987A0914(02),287,0
21987A0919(02):EN:NOT.html,21987A0919(02),288,0
21987A0926(01):EN:NOT.html,21987A0926(01),289,0
21987A0929(01):EN:NOT.html,21987A0929(01),290,0
21987A1013(01):EN:NOT.html,21987A1013(01),291,0
21987A1021(02):EN:NOT.html,21987A1021(02),292,0
21987A1021(03):EN:NOT.html,21987A1021(03),293,0
21987A1021(04):EN:NOT.html,21987A1021(04),294,0
21987A1021(05):EN:NOT.html,21987A1021(05),295,0
21987A1023(01):EN:NOT.html,21987A1023(01),296,0
21987A1023(02):EN:NOT.html,21987A1023(02),297,0
21987A1024(02):EN:NOT.html,21987A1024(02),298,0
21987A1123(02):EN:NOT.html,21987A1123(02),299,0
21987A1202(01):EN:NOT.html,21987A1202(01),300,0
21987A1209(01):EN:NOT.html,21987A1209(01),301,0
21987D1123(03):EN:NOT.html,21987D1123(03),302,0
21987D1123(04):EN:NOT.html,21987D1123(04),303,0
21988A0085:EN:NOT.html,21988A0085,304,0
21988A0114(01):EN:NOT.html,21988A0114(01),305,0
21988A0129(01):EN:NOT.html,21988A0129(01)R(01),306,1
21988A0129(02):EN:NOT.html,21988A0129(02),307,0
21988A0227(01):EN:NOT.html,21988A0227(01),308,0
21988A0531(01):EN:NOT.html,21988A0531(01),309,0
21988A0602(02):EN:NOT.html,21988A0602(02),310,0
21988A0602(04):EN:NOT.html,21988A0602(04),311,1
21988A0714(01):EN:NOT.html,21988A0714(01),312,0
21988A0714(02):EN:NOT.html,21988A0714(02),313,0
21988A0723(01):EN:NOT.html,21988A0723(01),314,0
21988A0723(02):EN:NOT.html,21988A0723(02),315,0
21988A1031(01):EN:NOT.html,21988A1031(01),316,0
21988A1031(02):EN:NOT.html,21988A1031(02),317,0
21988A1130(02):EN:NOT.html,21988A1130(02),318,0
21988A1130(03):EN:NOT.html,21988A1130(03),319,0
21988A1130(04):EN:NOT.html,21988A1130(04),320,0
21988A1130(05):EN:NOT.html,21988A1130(05),321,0
21988A1227(04):EN:NOT.html,21988A1227(04),322,0
21988A1227(05):EN:NOT.html,21988A1227(05),323,0
21988A1227(06):EN:NOT.html,21988A1227(06),324,0
21988A1227(07):EN:NOT.html,21988A1227(07),325,0
21988A1231(01):EN:NOT.html,21988A1231(01),326,0
21988D1231(01):EN:NOT.html,21988D1231(01),327,0
21989A0225(01):EN:NOT.html,21989A0225(01),328,0
21989A0228(01):EN:NOT.html,21989A0228(01),329,0
21989A0315(01):EN:NOT.html,21989A0315(01),330,0
21989A0317(01):EN:NOT.html,21989A0317(01),331,0
21989A0323(01):EN:NOT.html,21989A0323(01),332,0
21989A0323(02):EN:NOT.html,21989A0323(02),333,0
21989A0323(03):EN:NOT.html,21989A0323(03),334,0
21989A0331(02):EN:NOT.html,21989A0331(02),335,0
21989A0519(03):EN:NOT.html,21989A0519(03),336,0
21989A0519(04):EN:NOT.html,21989A0519(04),337,0
21989A0519(06):EN:NOT.html,21989A0519(06),338,0
21989A0610(01):EN:NOT.html,21989A0610(01),339,0
21989A0718(03):EN:NOT.html,21989A0718(03),340,0
21989A0718(04):EN:NOT.html,21989A0718(04),341,0
21989A0718(06):EN:NOT.html,21989A0718(06),342,0
21989A1004(01):EN:NOT.html,21989A1004(01),343,0
21989A1013(02):EN:NOT.html,21989A1013(02),344,0
21989A1013(03):EN:NOT.html,21989A1013(03),345,0
21989A1013(05):EN:NOT.html,21989A1013(05),346,0
21989A1122(02):EN:NOT.html,21989A1122(02),347,0
21989A1122(03):EN:NOT.html,21989A1122(03),348,0
21989A1204(01):EN:NOT.html,21989A1204(01),349,0
21989A1230(16):EN:NOT.html,21989A1230(16),350,0
21989A1230(17):EN:NOT.html,21989A1230(17),351,0
21989A1230(19):EN:NOT.html,21989A1230(19),352,0
21989D0713(01):EN:NOT.html,21989D0713(01),353,0
21989D0727(01):EN:NOT.html,21989D0727(01),354,0
21989D1026(01):EN:NOT.html,21989D1026(01),355,0
21989D1026(02):EN:NOT.html,21989D1026(02),356,0
21989D1223(01):EN:NOT.html,21989D1223(01),357,0
21990A0118(01):EN:NOT.html,21990A0118(01),358,0
21990A0221(01):EN:NOT.html,21990A0221(01),359,0
21990A0315(01):EN:NOT.html,21990A0315(01),360,0
21990A0315(02):EN:NOT.html,21990A0315(02),361,0
21990A0316(02):EN:NOT.html,21990A0316(02),362,0
21990A0405(01):EN:NOT.html,21990A0405(01),363,0
21990A0508(01):EN:NOT.html,21990A0508(01),364,0
21990A0515(01):EN:NOT.html,21990A0515(01),365,0
21990A0714(01):EN:NOT.html,21990A0714(01),366,0
21990A0809(01):EN:NOT.html,21990A0809(01),367,0
21990A0814(01):EN:NOT.html,21990A0814(01),368,0
21990A1004(01):EN:NOT.html,21990A1004(01),369,0
21990A1023(01):EN:NOT.html,21990A1023(01),370,0
21990A1023(03):EN:NOT.html,21990A1023(03),371,0
21990A1026(01):EN:NOT.html,21990A1026(01),372,0
21990A1212(01):EN:NOT.html,21990A1212(01),373,0
21990A1231(01):EN:NOT.html,21990A1231(01),374,0
21990A1231(02):EN:NOT.html,21990A1231(02)R(02),375,1
21990A1231(03):EN:NOT.html,21990A1231(03),376,0
21990A1231(06):EN:NOT.html,21990A1231(06),377,0
21990D0728(01):EN:NOT.html,21990D0728(01),378,0
21990D0728(02):EN:NOT.html,21990D0728(02),379,0
21990D1107(01):EN:NOT.html,21990D1107(01),380,0
21990D1107(02):EN:NOT.html,21990D1107(02),381,0
21990D1231(01):EN:NOT.html,21990D1231(01),382,0
21991A0118(01):EN:NOT.html,21991A0118(01),383,0
21991A0204(01):EN:NOT.html,21991A0204(01),384,0
21991A0227(02):EN:NOT.html,21991A0227(02),385,0
21991A0227(03):EN:NOT.html,21991A0227(03),386,0
21991A0227(04):EN:NOT.html,21991A0227(04),387,0
21991A0227(05):EN:NOT.html,21991A0227(05),388,0
21991A0227(06):EN:NOT.html,21991A0227(06),389,0
21991A0307(03):EN:NOT.html,21991A0307(03),390,0
21991A0307(05):EN:NOT.html,21991A0307(05),391,0
21991A0307(08):EN:NOT.html,21991A0307(08),392,0
21991A0308(01):EN:NOT.html,21991A0308(01),393,0
21991A0326(04):EN:NOT.html,21991A0326(04),394,0
21991A0509(01):EN:NOT.html,21991A0509(01),395,0
21991A0510(01):EN:NOT.html,21991A0510(01),396,0
21991A0725(01):EN:NOT.html,21991A0725(01),397,0
21991A0727(01):EN:NOT.html,21991A0727(01),398,0
21991A1123(01):EN:NOT.html,21991A1123(01),399,0
21991A1203(03):EN:NOT.html,21991A1203(03),400,0
21991A1211(01):EN:NOT.html,21991A1211(01),401,0
21991A1231(02):EN:NOT.html,21991A1231(02),402,0
21991D0907(02):EN:NOT.html,21991D0907(02)R(01),403,1
21991D0907(03):EN:NOT.html,21991D0907(03),404,0
21991D0907(04):EN:NOT.html,21991D0907(04),405,0
21991D0907(05):EN:NOT.html,21991D0907(05),406,0
21991D1203(01):EN:NOT.html,21991D1203(01),407,0
21991D1214(01):EN:NOT.html,21991D1214(01),408,0
21991D1214(02):EN:NOT.html,21991D1214(02),409,0
21992A0220(01):EN:NOT.html,21992A0220(01),410,0
21992A0310(01):EN:NOT.html,21992A0310(01),411,0
21992A0408(01):EN:NOT.html,21992A0408(01),412,0
21992A0430(01):EN:NOT.html,21992A0430(01)R(01),413,1
21992A0430(03):EN:NOT.html,21992A0430(03)R(02),414,1
21992A1017(01):EN:NOT.html,21992A1017(01),415,0
21992A1030(01):EN:NOT.html,21992A1030(01),416,0
21992A1125(01):EN:NOT.html,21992A1125(01),417,0
21992A1209(02):EN:NOT.html,21992A1209(02),418,0
21992A1231(01):EN:NOT.html,21992A1231(01),419,0
21992A1231(05):EN:NOT.html,21992A1231(05),420,0
21992A1231(08):EN:NOT.html,21992A1231(08),421,0
21992A1231(09):EN:NOT.html,21992A1231(09),422,0
21992A1231(10):EN:NOT.html,21992A1231(10),423,0
21992A1231(11):EN:NOT.html,21992A1231(11),424,0
21992A1231(12):EN:NOT.html,21992A1231(12),425,0
21992A1231(13):EN:NOT.html,21992A1231(13),426,0
21992A1231(15):EN:NOT.html,21992A1231(15),427,0
21992A1231(16):EN:NOT.html,21992A1231(16),428,0
21992A1231(17):EN:NOT.html,21992A1231(17),429,0
21992A1231(29):EN:NOT.html,21992A1231(29),430,0
21992D0219(02):EN:NOT.html,21992D0219(02),431,0
21992D1106(01):EN:NOT.html,21992D1106(01),432,0
21992D1231(01):EN:NOT.html,21992D1231(01),433,0
21993A0202(01):EN:NOT.html,21993A0202(01),434,0
21993A0216(02):EN:NOT.html,21993A0216(02),435,0
21993A0218(01):EN:NOT.html,21993A0218(01),436,0
21993A0223(01):EN:NOT.html,21993A0223(01),437,0
21993A0309(01):EN:NOT.html,21993A0309(01),438,0
21993A0309(02):EN:NOT.html,21993A0309(02),439,0
21993A0309(03):EN:NOT.html,21993A0309(03)R(01),440,1
21993A0319(01):EN:NOT.html,21993A0319(01),441,0
21993A0325(01):EN:NOT.html,21993A0325(01),442,0
21993A0501(04):EN:NOT.html,21993A0501(04),443,0
21993A0501(05):EN:NOT.html,21993A0501(05),444,0
21993A0501(06):EN:NOT.html,21993A0501(06),445,0
21993A0501(07):EN:NOT.html,21993A0501(07),446,0
21993A0501(08):EN:NOT.html,21993A0501(08),447,0
21993A0527(01):EN:NOT.html,21993A0527(01),448,0
21993A0618(01):EN:NOT.html,21993A0618(01),449,0
21993A0621(01):EN:NOT.html,21993A0621(01),450,0
21993A0702(01):EN:NOT.html,21993A0702(01),451,0
21993A0729(02):EN:NOT.html,21993A0729(02),452,0
21993A0729(03):EN:NOT.html,21993A0729(03)R(02),453,1
21993A0804(01):EN:NOT.html,21993A0804(01),454,0
21993A0804(02):EN:NOT.html,21993A0804(02),455,0
21993A1028(01):EN:NOT.html,21993A1028(01),456,0
21993A1204(01):EN:NOT.html,21993A1204(01),457,0
21993A1213(01):EN:NOT.html,21993A1213(01),458,0
21993A1220(01):EN:NOT.html,21993A1220(01),459,0
21993A1231(02):EN:NOT.html,21993A1231(02),460,0
21993A1231(04):EN:NOT.html,21993A1231(04),461,0
21993A1231(05):EN:NOT.html,21993A1231(05),462,0
21993A1231(06):EN:NOT.html,21993A1231(06),463,0
21993A1231(08):EN:NOT.html,21993A1231(08),464,0
21993A1231(09):EN:NOT.html,21993A1231(09),465,0
21993A1231(10):EN:NOT.html,21993A1231(10),466,0
21993A1231(11):EN:NOT.html,21993A1231(11),467,0
21993A1231(13):EN:NOT.html,21993A1231(13),468,0
21993A1231(14):EN:NOT.html,21993A1231(14),469,0
21993A1231(15):EN:NOT.html,21993A1231(15),470,0
21993A1231(16):EN:NOT.html,21993A1231(16),471,0
21993A1231(17):EN:NOT.html,21993A1231(17),472,0
21993A1231(18):EN:NOT.html,21993A1231(18),473,0
21993A1231(19):EN:NOT.html,21993A1231(19),474,0
21993A1231(20):EN:NOT.html,21993A1231(20),475,0
21993D0202(01):EN:NOT.html,21993D0202(01),476,0
21993D0219(01):EN:NOT.html,21993D0219(01),477,0
21993D0219(02):EN:NOT.html,21993D0219(02),478,0
21993D0219(03):EN:NOT.html,21993D0219(03),479,0
